Improvement,,
ID,Замечание,Предложение
1,Не обозначены обязательные поля ,"Обозначить обязательные поля (например знаком звездочка "" * "")"
2,"На странице не указано, что она предназначена для регистрации (непонятно)","Указать предназначение формы (регистрация, профиль пользователя)"
3,"""Я согласен на обработку моих персональных данных"" - неясно после какого действия пользователь согласен на обработку","Под каждой формой сбора данных, включая сбор email, разместить текст «Нажимая на кнопку, вы даете согласие на обработку своих персональных данных». В тексте должна быть ссылка на документ — Пользовательское соглашение, договор или согласие на обработку персональных данных."
4,"На странице не указан сайт в котором мы регистрируемся (непонятно для чего и где регаемся) ""в нашей системе"" в какой системе, в какой нашей - непонятно",
5,Ограничение на ввод символов в поля,Поставить ограничения на ввод символов в поля
6,"Нет возможности очистить поле, кроме кнопки backspace ",Добавить кнопку очистки полей
7,Добавить чек бокс запомнить меня,
8,Не хватает второго поля для подтверждения пароля (пароли в обоих полях должны совпадать),"Добавить второе поле пароля, подтвердите пароль"
9,Подсказки  в полях,Добавить placeholders с подсказками в поля 
10,Много незанятого места на странице (форма не заполняет всю страницу),
